         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    408/1    0.005    0.000    4.188    4.188 {built-in method builtins.exec}
        1    0.000    0.000    4.188    4.188 <string>:1(<module>)
        1    0.000    0.000    4.188    4.188 <frozen runpy>:201(run_module)
        1    0.000    0.000    4.188    4.188 <frozen runpy>:65(_run_code)
        1    0.000    0.000    4.188    4.188 __main__.py:1(<module>)
        1    0.000    0.000    3.914    3.914 __main__.py:20(main)
        1    0.000    0.000    3.871    3.871 game.py:8(__init__)
        1    0.000    0.000    3.871    3.871 tilemap.py:965(load_tilemap)
        1    0.000    0.000    3.871    3.871 tilemap.py:170(__init__)
    21/12    0.000    0.000    3.859    0.322 tilemap.py:250(_process_layer)
       18    0.011    0.001    3.859    0.214 tilemap.py:695(_process_tile_layer)
     1799    0.007    0.000    3.709    0.002 tilemap.py:402(_create_sprite_from_tile)
     1799    0.008    0.000    3.678    0.002 loading.py:19(load_texture)
     1811    0.005    0.000    2.027    0.001 texture.py:130(__init__)
     1810    0.002    0.000    2.015    0.001 texture.py:694(_calculate_hit_box_points)
      323    0.003    0.000    2.007    0.006 simple.py:14(calculate)
     1168    0.519    0.000    1.981    0.002 simple.py:37(_check_corner_offset)
  2025580    0.673    0.000    1.462    0.000 Image.py:1570(getpixel)
     2115    0.002    0.000    0.768    0.000 texture.py:52(__init__)
     2114    0.005    0.000    0.766    0.000 texture.py:56(calculate_hash)
       53    0.002    0.000    0.672    0.013 __init__.py:1(<module>)
      315    0.002    0.000    0.651    0.002 Image.py:889(convert)
  2035314    0.514    0.000    0.648    0.000 Image.py:835(load)
     2114    0.501    0.000    0.501    0.000 {method 'update' of '_hashlib.HASH' objects}
      315    0.005    0.000    0.401    0.001 ImageFile.py:155(load)
      674    0.368    0.001    0.368    0.001 {method 'decode' of 'ImagingDecoder' objects}
    385/9    0.002    0.000    0.279    0.031 <frozen importlib._bootstrap>:1167(_find_and_load)
    385/9    0.001    0.000    0.279    0.031 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    371/9    0.001    0.000    0.279    0.031 <frozen importlib._bootstrap>:666(_load_unlocked)
   860/15    0.000    0.000    0.279    0.019 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    340/9    0.000    0.000    0.279    0.031 <frozen importlib._bootstrap_external>:934(exec_module)
     2396    0.015    0.000    0.256    0.000 Image.py:729(tobytes)
      315    0.248    0.001    0.248    0.001 {method 'convert' of 'ImagingCore' objects}
     2396    0.170    0.000    0.170    0.000 {method 'join' of 'bytes' objects}
  2025580    0.150    0.000    0.150    0.000 {method 'getpixel' of 'ImagingCore' objects}
  2034999    0.133    0.000    0.133    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.130    0.130 application.py:1(<module>)
     2172    0.003    0.000    0.128    0.000 pathlib.py:982(resolve)
     1843    0.002    0.000    0.118    0.000 __init__.py:13(resolve_resource_path)
9281/9153    0.006    0.000    0.114    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
   105/54    0.000    0.000    0.114    0.002 {built-in method builtins.__import__}
     1799    0.006    0.000    0.108    0.000 sprite_list.py:588(append)
     1799    0.006    0.000    0.097    0.000 texture.py:602(crop)
3599/3598    0.005    0.000    0.092    0.000 texture_atlas.py:398(add)
     1799    0.006    0.000    0.091    0.000 sprite_list.py:896(_update_all)
     2172    0.002    0.000    0.091    0.000 <frozen posixpath>:412(realpath)
     2172    0.022    0.000    0.081    0.000 <frozen posixpath>:421(_joinrealpath)
      315    0.002    0.000    0.065    0.000 Image.py:3174(open)
        2    0.000    0.000    0.062    0.031 __init__.py:119(__init__)
        2    0.000    0.000    0.062    0.031 __init__.py:434(__init__)
    18890    0.060    0.000    0.060    0.000 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.055    0.055 __init__.py:148(_create_shadow_window)
        1    0.000    0.000    0.055    0.055 __init__.py:158(__init__)
       14    0.000    0.000    0.047    0.003 lib.py:81(load_library)
        2    0.006    0.003    0.044    0.022 __init__.py:182(_create)
        4    0.001    0.000    0.042    0.010 xlib.py:1(<module>)
        1    0.000    0.000    0.041    0.041 drawing_support.py:1(<module>)
        2    0.000    0.000    0.041    0.020 types.py:1(<module>)
1323/1319    0.011    0.000    0.040    0.000 {built-in method builtins.__build_class__}
      315    0.003    0.000    0.037    0.000 Image.py:3242(_open_core)
       11    0.031    0.003    0.036    0.003 xlib.py:190(set_current)
        2    0.000    0.000    0.036    0.018 xlib.py:181(attach)
      282    0.003    0.000    0.036    0.000 texture_atlas.py:536(write_image)
        1    0.000    0.000    0.033    0.033 sound.py:1(<module>)
        2    0.000    0.000    0.033    0.016 context.py:1(<module>)
      341    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      315    0.001    0.000    0.032    0.000 ImageFile.py:88(__init__)
    19814    0.021    0.000    0.031    0.000 <frozen posixpath>:71(join)
      315    0.006    0.000    0.031    0.000 PngImagePlugin.py:728(_open)
        1    0.000    0.000    0.030    0.030 __init__.py:38(add_default_codecs)
        1    0.000    0.000    0.028    0.028 __init__.py:79(have_ffmpeg)
      508    0.003    0.000    0.028    0.000 texture_atlas.py:436(_allocate_texture)
     2724    0.005    0.000    0.026    0.000 copy.py:259(_reconstruct)
        3    0.000    0.000    0.026    0.009 layer.py:1(<module>)
       14    0.000    0.000    0.025    0.002 lib.py:293(find_library)
     2245    0.002    0.000    0.025    0.000 pathlib.py:505(_from_parts)
       38    0.000    0.000    0.023    0.001 _make.py:1481(wrap)
11684/508    0.010    0.000    0.023    0.000 copy.py:128(deepcopy)
       14    0.000    0.000    0.023    0.002 util.py:338(find_library)
       14    0.000    0.000    0.023    0.002 util.py:270(_findSoname_ldconfig)
     2314    0.003    0.000    0.023    0.000 pathlib.py:485(_parse_args)
        1    0.000    0.000    0.022    0.022 __main__.py:13(__init__)
     7225    0.015    0.000    0.022    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.022    0.022 application.py:80(__init__)
     2927    0.003    0.000    0.022    0.000 Image.py:1210(crop)
       14    0.000    0.000    0.022    0.002 __init__.py:453(LoadLibrary)
       15    0.000    0.000    0.022    0.001 __init__.py:342(__init__)
       15    0.021    0.001    0.021    0.001 {built-in method _ctypes.dlopen}
    19811    0.021    0.000    0.021    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.020    0.020 window_commands.py:163(run)
        1    0.000    0.000    0.020    0.020 __init__.py:64(run)
        1    0.000    0.000    0.020    0.020 base.py:122(run)
      340    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     1799    0.006    0.000    0.020    0.000 tilemap.py:331(_get_tile_by_gid)
      340    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.019    0.019 main_menu.py:1(<module>)
     2314    0.011    0.000    0.019    0.000 pathlib.py:55(parse_parts)
     2216    0.005    0.000    0.017    0.000 copy.py:66(copy)
      381    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.017    0.017 constructs.py:1(<module>)
        4    0.000    0.000    0.016    0.004 xlib.py:65(step)
        3    0.016    0.005    0.016    0.005 {built-in method select.select}
        1    0.000    0.000    0.016    0.016 parser.py:1(<module>)
